a_state_code,a_state_name,inflow,outflow,net_migration
1,Alabama,273646,250380,9289
2,Alaska,57579,82265,-30507
4,Arizona,419881,306405,66346
5,Arkansas,191499,180238,2094
6,California,1896572,1691548,-110995
8,Colorado,520301,446304,40926
9,Connecticut,174018,169285,-17233
10,Delaware,51991,39597,7738
11,District of Columbia,65522,60898,-5994
12,Florida,1395153,1056425,152819
13,Georgia,805608,723039,27834
15,Hawaii,76520,70604,-9691
16,Idaho,130544,112655,9809
17,Illinois,604976,656061,-117910
18,Indiana,403723,374702,4639
19,Iowa,205851,192607,586
20,Kansas,202195,190783,-4767
21,Kentucky,297225,273980,6916
22,Louisiana,255993,248814,-7269
23,Maine,77419,70398,2635
24,Maryland,374394,347169,-18558
25,Massachusetts,396747,355884,-23223
26,Michigan,569768,537179,-15394
27,Minnesota,383882,368780,-12722
28,Mississippi,184410,182151,-4382
30,Montana,75733,65988,6154
31,Nebraska,127913,116103,2917
32,Nevada,169388,123110,30361
33,New Hampshire,87395,75026,6187
34,New Jersey,411624,421602,-73189
35,New Mexico,118315,116923,-9397
36,New York,896965,914959,-166525
37,North Carolina,709738,601745,58033
38,North Dakota,66908,57547,5688
39,Ohio,634139,598916,-7556
40,Oklahoma,288533,264592,7816
41,Oregon,312762,257088,32785
42,Pennsylvania,635064,591412,-12314
44,Rhode Island,58857,51012,1102
45,South Carolina,339496,280800,40166
46,South Dakota,68792,64851,557
47,Tennessee,408411,364760,18789
48,Texas,1832554,1509350,112054
49,Utah,214730,181235,11575
50,Vermont,38330,35502,250
51,Virginia,747827,675555,2583
53,Washington,516273,413130,42780
54,West Virginia,96254,96357,-3389
55,Wisconsin,330521,312381,-796
56,Wyoming,44815,45077,-2498
